Image ID,lower_bound_n<3,upper_bound_n<3,lower_bound_3<=n<=6,upper_bound_3<=n<=6,lower_bound_>6,upper_bound_>6,lower_bound_%2==0,upper_bound_%2==0,lower_bound_%2!=0,upper_bound_%2!=0
6083048800,0.9695410132408142,0.9703465700149536,7.561029059799385e-12,7.762880616102308e-12,5.981850431657776e-11,6.142692604571565e-11,0.029653294011950493,0.030458761379122734,8.209230821162872e-13,8.430991907219798e-13
6077152320,3.8324654864571595e-13,3.9574566497099783e-13,5.078628056293111e-12,5.233409625798879e-12,0.895999014377594,0.8990936875343323,4.009020979772737e-12,4.143016658908483e-12,0.10090629756450653,0.10400091111660004
6076604544,3.437812587479381e-17,3.5812500070352615e-17,0.9986280202865601,0.9986855387687683,6.000480667900376e-11,6.300059779418277e-11,1.7238090329349618e-15,1.8097267611485177e-15,0.0013143126852810383,0.0013719071866944432
4355024576,2.0962527052182782e-24,2.1719642222425437e-24,0.9999977946281433,0.9999979734420776,8.585379471315332e-22,8.880508870483086e-22,1.513185854028207e-29,1.567987889669192e-29,1.9797537333943183e-06,2.0440945718291914e-06
6076011744,3.178869957442917e-20,3.321054226805113e-20,0.9999998807907104,0.9999998807907104,2.8426281470235005e-19,2.982727210383724e-19,1.731828840141239e-17,1.8165928499236305e-17,3.74588804419318e-09,3.923606328726237e-09
6077470368,8.063852919534446e-19,8.247558876836933e-19,0.9999949336051941,0.9999951124191284,1.1635620097008126e-19,1.1927647164982023e-19,4.857157819060376e-06,4.979061031917809e-06,2.232136179709583e-21,2.2841807036408004e-21
6075819648,0.996312141418457,0.9963870048522949,5.491841875059295e-16,5.612128494503286e-16,2.7820368342137947e-16,2.836547374836549e-16,0.003612878732383251,0.0036877612583339214,9.552304461229209e-19,9.746753943725112e-19
4778923984,1.1173495462202254e-10,1.1473931527117287e-10,4.905930127202182e-16,5.038754951847905e-16,0.8926793932914734,0.8950904607772827,0.10490942746400833,0.10732045769691467,9.932634142256758e-13,1.0182075451878325e-12
6079347168,1.559771300833901e-12,1.5998825528273919e-12,1.1988553507460068e-19,1.2350729368787583e-19,0.11352428793907166,0.11593646556138992,0.8840634226799011,0.8864756226539612,8.402001045223673e-17,8.615602902186506e-17
6083055424,7.441488492077042e-07,7.662270604669175e-07,1.9497778946941935e-09,1.997452425683832e-09,0.7151503562927246,0.7199571132659912,8.178271393433079e-09,8.389434036359944e-09,0.28004205226898193,0.2848488390445709
6089930272,4.7337020371227e-13,4.857662666210572e-13,4.583510061016741e-22,4.7172564418960425e-22,0.6905072927474976,0.6960171461105347,0.3039827346801758,0.30949264764785767,2.1364267832606276e-18,2.1923520508850316e-18
6085557152,1.2331667508559181e-18,1.270260631450093e-18,0.9971516728401184,0.9972477555274963,1.9100349572382752e-22,1.975393282304412e-22,0.002752031199634075,0.00284814671613276,5.469012418525902e-27,5.63829472728974e-27
6076479104,2.857761781399208e-25,2.906023058985465e-25,0.10579732805490494,0.1077425628900528,1.2665918579587518e-17,1.2862732144274098e-17,1.569270997262058e-20,1.5960220505837656e-20,0.8922572731971741,0.8942025303840637
6085172960,6.56307756609125e-21,6.929086811790708e-21,0.9999339580535889,0.9999380111694336,1.0411744180631267e-21,1.1138945193145308e-21,6.18881022091955e-05,6.593584112124518e-05,1.8303002811518187e-25,1.9294481407650051e-25
6089541664,1.5879273451702147e-09,1.6570990135633679e-09,3.3504345876996487e-16,3.5216890324645032e-16,0.929987907409668,0.9324510097503662,6.595149339844175e-12,6.8518172906262276e-12,0.067548967897892,0.07001200318336487
