Image ID,lower_bound_n<3,upper_bound_n<3,lower_bound_3<=n<=6,upper_bound_3<=n<=6,lower_bound_>6,upper_bound_>6,lower_bound_%2==0,upper_bound_%2==0,lower_bound_%2!=0,upper_bound_%2!=0
6083048800,1.326900189724256e-07,0.9999998807907104,3.9719561238510697e-19,0.00015853511285968125,5.2632340187988514e-18,0.004044120199978352,4.7211958786874675e-09,0.9999991655349731,4.009876926563856e-20,1.1103754331998061e-05
6077152320,6.134727659656277e-23,1.167117716249777e-06,1.0911758705048233e-20,8.158595846907701e-06,1.0683218754081736e-08,0.9999998807907104,4.319138411652427e-22,1.982724825211335e-05,7.217076936072431e-11,0.9999960660934448
6076604544,3.827175389027967e-32,1.0044562404054602e-11,6.3026341957928e-12,0.9999998807907104,7.61504564882628e-26,3.405985626159236e-05,1.1743965331381676e-30,6.912909134015877e-10,1.4795157576915366e-17,0.9779577851295471
4355024576,1.0977131294075749e-34,1.439407589586188e-17,0.00010165573621634394,0.9999998807907104,5.330281484792364e-31,1.2135051929552216e-16,6.41616731755797e-40,4.0836214009349244e-22,2.3261250561233118e-15,0.11213075369596481
6076011744,1.9956659998129742e-32,6.554967072608386e-14,2.536763687999155e-08,0.9999998807907104,4.4740847836929735e-31,4.385166275239216e-12,2.195537567109913e-29,3.9197138590463254e-11,3.2704953968022236e-20,0.000842915556859225
6077470368,1.063479049104182e-30,4.0778280275058365e-13,2.4731088288376668e-08,0.9999998807907104,1.3435065828909662e-31,1.1063478692202589e-12,4.491709633375995e-19,0.8670652508735657,7.091458842945752e-32,1.302440608392269e-16
6075819648,2.1805735173074936e-07,0.9999998807907104,1.0275206648152808e-25,2.02524716996777e-08,1.533754524630014e-25,2.1955175455445897e-09,3.9450474137447955e-12,0.9999813437461853,2.7156971922400763e-27,2.6992722293450733e-12
4778923984,4.0971297470335395e-19,0.000635787786450237,1.073214969294426e-22,4.046766921561584e-09,3.320584767152468e-07,0.9999998807907104,2.448249825093285e-09,0.9999961256980896,6.504994219791612e-20,9.780370419321116e-06
6079347168,3.5661239316149937e-20,4.330511001171544e-05,2.64898721601238e-27,1.6601744284860942e-11,5.914821077368515e-09,0.9999995827674866,1.193954659584051e-07,0.9999998807907104,7.768788180455193e-24,3.0409883500226442e-09
6083055424,7.042475445444589e-15,0.9174331426620483,1.1815111703506506e-16,0.0024686779361218214,7.631660281504082e-08,0.9999998807907104,9.376979808085838e-18,0.07258517295122147,1.3046166813523996e-08,0.999999463558197
